dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,true,true,false,true,false,false,true,true,false,true,false,true,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,true,false,true,false,false,true,false,false,true,29,-0.9007203846520977,4370.999999999998,3323935
true,true,true,true,true,false,true,false,true,true,true,false,true,false,false,false,true,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,true,7,-0.8937114498313398,964.9999999999997,3402057
true,true,false,false,false,true,true,true,true,false,true,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,true,false,false,false,true,true,false,false,true,23,-0.9325643530136825,3698.9999999999995,3481151
true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,10,-0.8818175346637567,1243.0,3558668
true,true,false,true,true,false,false,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,true,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,true,1,-0.8184482311811985,125.99999999999999,3634784
true,true,true,true,true,true,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,false,false,false,true,false,true,true,false,false,false,false,true,true,false,true,4,-0.9307421855511964,614.9999999999998,3712504
true,false,false,true,false,true,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,true,false,false,true,true,false,false,true,22,-0.9281677481291208,3667.0,3790635
true,true,true,true,false,false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,true,true,false,true,true,19,-0.9008609539203866,3028.9999999999995,3869610
true,true,false,true,false,false,false,false,true,true,true,false,true,false,true,false,false,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,10,-0.9065815882270856,1230.9999999999998,3946612
true,true,false,true,true,true,false,true,false,true,true,false,true,true,false,true,false,true,false,false,true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,true,true,false,false,false,true,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,false,true,14,-0.8424527481682837,1814.9999999999993,4026044
true,true,true,true,true,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,true,true,true,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,true,true,true,false,true,17,-0.9339701804685879,2367.0,4105175
false,true,false,true,false,false,false,false,false,false,true,true,true,true,true,false,false,false,true,true,true,true,true,true,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,true,true,true,false,true,26,-0.9093218590914601,3718.9999999999995,4184098
true,true,false,true,false,true,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,true,true,true,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,true,true,true,false,false,true,false,false,true,true,false,false,false,false,false,false,false,true,4,-0.9347222466140253,757.0,4261064
