dur,proto,s_port,d_port,s_load,d_load,s_pkt_cnt,d_pkt_cnt,s_iat_mean,d_iat_mean,tcp_rtt,syn_ack,ack_dat,s_bytes_sum,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_bytes_min,d_bytes_min,s_bytes_max,d_bytes_max,s_bytes_med,d_bytes_med,s_bytes_std,d_bytes_std,s_iat_sum,d_iat_sum,s_iat_min,d_iat_min,s_iat_max,d_iat_max,s_iat_med,d_iat_med,s_iat_std,d_iat_std,s_winsize_sum,d_winsize_sum,s_winsize_mean,d_winsize_mean,s_winsize_min,d_winsize_min,s_winsize_max,d_winsize_max,s_winsize_med,d_winsize_med,s_winsize_std,d_winsize_std,s_ttl_sum,d_ttl_sum,s_ttl_mean,d_ttl_mean,s_ttl_min,d_ttl_min,s_ttl_max,d_ttl_max,s_ttl_med,d_ttl_med,s_ttl_std,d_ttl_std,cwr_cnt,ece_cnt,urg_cnt,ack_cnt,psh_cnt,rst_cnt,syn_cnt,fin_cnt,pkt_depth,neg_f1_score,compute_cost,timestamp
true,false,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,true,false,true,false,true,true,true,false,true,true,false,false,true,true,true,true,false,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,true,true,false,false,false,6,-0.935693502418837,870.0000000000001,3078663
true,false,true,false,true,false,true,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,false,false,true,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true,false,false,false,true,true,false,4,-0.9232090233405186,720.9999999999998,3152664
false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,true,true,true,false,false,false,true,true,true,false,true,true,false,true,true,false,false,false,true,false,false,true,true,true,false,true,true,false,false,true,true,false,false,true,false,false,false,false,true,false,true,true,false,29,-0.9081391946396007,4004.999999999997,3228706
true,false,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,false,false,true,true,false,false,false,false,false,false,31,-0.9274816738123419,3974.999999999998,3304621
true,false,true,true,true,true,true,true,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,false,true,false,true,false,true,false,true,true,true,false,true,false,false,true,false,false,true,false,true,false,false,32,-0.9322795182075693,4231.000000000001,3379148
false,true,true,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,true,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,true,true,true,false,true,false,false,false,true,4,-0.9571151797530001,545.0000000000001,3452235
true,false,true,false,true,true,true,false,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,false,false,true,false,true,false,true,false,false,true,false,false,false,true,true,true,false,true,true,false,true,false,true,false,false,true,false,true,false,true,true,false,false,false,false,3,-0.9278125201225486,585.9999999999997,3526216
true,false,true,false,true,false,false,true,true,true,false,true,true,false,true,true,false,true,true,true,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,false,false,false,true,11,-0.9257884633137099,1515.9999999999993,3601927
false,false,true,false,true,false,true,false,false,true,false,false,false,true,false,true,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,false,true,true,true,false,true,true,true,false,false,false,true,5,-0.9534169854278983,809.9999999999994,3675418
false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,14,-0.8639000280660106,1756.9999999999998,3750664
