s_winsize_std,s_winsize_mean,s_winsize_sum,s_winsize_med,d_winsize_mean,d_winsize_sum,d_winsize_std,d_winsize_med,d_ttl_sum,s_bytes_sum,s_bytes_std,s_bytes_mean,d_winsize_min,s_bytes_max,d_bytes_sum,d_bytes_mean,d_bytes_std,dur,d_winsize_max,d_iat_max,s_iat_sum,s_winsize_min,d_iat_sum,s_iat_max,d_load,d_ttl_mean,d_ttl_min,d_ttl_max,s_iat_std,d_ttl_med,s_iat_mean,s_load,s_winsize_max,d_iat_mean,d_bytes_max,syn_ack,d_iat_med,tcp_rtt,ack_cnt,d_bytes_med,s_port,d_iat_std,s_iat_med,s_ttl_sum,d_iat_min,d_port,d_pkt_cnt,s_pkt_cnt,psh_cnt,ack_dat,s_iat_min,s_bytes_med,s_ttl_max,s_ttl_min,d_bytes_min,s_ttl_med,s_ttl_mean,s_bytes_min,fin_cnt,rst_cnt,syn_cnt,d_ttl_std,cwr_cnt,proto,s_ttl_std,ece_cnt,pkt_depth,neg_f1_score,compute_cost,Timestamp
false,true,true,false,true,false,false,true,true,true,false,true,true,true,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false,false,true,true,false,true,false,false,true,true,false,true,true,true,false,false,false,true,false,true,true,false,false,false,false,true,true,true,false,true,false,true,true,8,-0.9069667327618639,341.0,1476444
false,true,true,true,true,true,true,false,false,false,true,false,true,false,false,false,false,true,true,true,false,false,false,true,false,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,false,true,false,false,false,true,false,true,false,false,false,false,true,true,true,false,false,true,true,true,false,false,true,false,6,-0.9626103391309543,351.0,1507467
true,false,false,false,true,true,true,false,true,false,true,false,true,true,true,true,false,true,true,false,false,false,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,true,true,8,-0.9215818938777839,502.0,1533830
false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,2,-0.9705078958600085,150.0,1564005
false,true,false,false,true,true,false,true,false,true,false,true,true,false,false,true,false,true,false,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,true,false,true,false,true,false,true,false,true,true,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,10,-0.9264308576607654,572.0,1591104
false,false,true,false,true,true,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,true,true,true,true,true,true,true,false,false,true,true,true,true,true,true,false,true,true,true,true,7,-0.9385634117092113,330.0,1623938
false,false,true,true,false,false,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,true,true,true,false,true,false,false,true,true,3,-0.90845106119323,240.0,1654549
true,true,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,2,-0.9697503201024327,140.0,1685692
false,true,false,true,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,true,true,false,true,false,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,true,true,true,9,-0.8955437229631418,510.0,1717675
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,false,true,true,false,true,true,true,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,7,-0.9423733136761765,401.0,1749608
false,true,false,false,true,true,true,true,true,false,false,true,true,false,true,false,true,true,false,false,false,false,true,true,false,false,false,true,true,false,true,false,true,true,false,true,false,true,false,true,false,false,true,false,false,false,false,true,false,true,true,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,3,-0.9032863717264562,202.0,1781330
false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,3,-0.9131500585426224,201.0,1813553
