eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
160,1,0.2,8,11,0,1,False
161,0,0.2,8,30,0,6,False
161,1,0.2,8,12,0,2,False
162,0,0.2,8,30,0,6,False
162,1,0.2,8,13,0,3,False
163,0,0.2,8,30,0,6,False
163,1,0.2,8,14,0,4,False
164,0,0.2,8,30,0,6,False
164,1,0.2,8,15,0,5,False
165,0,0.2,8,30,0,6,False
165,1,0.2,8,16,0,6,False
166,0,0.2,8,31,0,7,False
166,1,0.2,8,16,0,6,False
167,0,0.2,8,32,0,8,False
167,1,0.2,8,16,0,6,False
168,0,0.2,8,32,0,8,False
168,1,0.2,8,17,0,7,False
169,0,0.2,8,32,0,8,False
169,1,0.2,8,18,0,8,False
170,0,0.2,8,32,0,8,False
170,1,0.2,8,19,1,0,False
171,0,0.2,8,32,0,8,False
171,1,0.2,8,20,0,1,False
172,0,0.2,8,32,0,8,False
172,1,0.2,8,21,1,0,False
173,0,0.2,8,32,0,8,False
173,1,0.2,8,22,0,1,False
174,0,0.2,8,32,0,8,False
174,1,0.2,8,23,0,2,False
175,0,0.2,8,32,0,8,False
175,1,0.2,8,24,0,3,False
176,0,0.2,8,33,0,9,False
176,1,0.2,8,24,0,3,False
177,0,0.2,8,34,1,0,False
177,1,0.2,8,24,0,3,False
178,0,0.2,8,34,1,0,False
178,1,0.2,8,25,0,4,False
179,0,0.2,8,34,1,0,False
179,1,0.2,8,26,0,5,False
180,0,0.2,8,34,1,0,False
180,1,0.2,8,27,0,6,False
181,0,0.2,8,35,0,1,False
181,1,0.2,8,27,0,6,False
182,0,0.2,8,36,0,2,False
182,1,0.2,8,27,0,6,False
183,0,0.2,8,36,0,2,False
183,1,0.2,8,28,0,7,False
184,0,0.2,8,36,0,2,False
184,1,0.2,8,29,0,8,False
185,0,0.2,8,36,0,2,False
185,1,0.2,8,30,0,9,False
186,0,0.2,8,36,0,2,False
186,1,0.2,8,31,0,10,False
187,0,0.2,8,36,0,2,False
187,1,0.2,8,32,0,11,False
188,0,0.2,8,36,0,2,False
188,1,0.2,8,33,0,12,False
189,0,0.2,8,36,0,2,False
189,1,0.2,8,34,0,13,False
190,0,0.2,8,36,0,2,False
190,1,0.2,8,35,0,14,False
191,0,0.2,8,37,0,3,False
191,1,0.2,8,35,0,14,False
192,0,0.2,8,37,0,3,False
192,1,0.2,8,36,0,15,False
193,0,0.2,8,38,0,4,False
193,1,0.2,8,36,0,15,False
194,0,0.2,8,38,0,4,False
194,1,0.2,8,37,0,16,False
195,0,0.2,8,38,0,4,False
195,1,0.2,8,38,0,17,False
196,0,0.2,8,38,0,4,False
196,1,0.2,8,39,0,18,False
197,0,0.2,8,38,0,4,False
197,1,0.2,8,40,0,19,False
198,0,0.2,8,38,0,4,False
198,1,0.2,8,41,1,0,False
199,0,0.2,8,22,0,5,False
199,1,0.2,8,41,1,0,False
200,0,0.2,8,23,0,6,False
200,1,0.2,8,41,1,0,False
201,0,0.2,8,24,0,7,False
201,1,0.2,8,41,1,0,False
202,0,0.2,8,25,0,8,False
202,1,0.2,8,41,1,0,False
203,0,0.2,8,26,0,9,False
203,1,0.2,8,41,1,0,False
204,0,0.2,8,27,0,10,False
204,1,0.2,8,41,1,0,False
205,0,0.2,8,28,0,11,False
205,1,0.2,8,41,1,0,False
