s_winsize_sum,s_winsize_med,s_winsize_mean,s_winsize_std,d_winsize_mean,d_winsize_sum,d_winsize_med,s_bytes_sum,s_bytes_max,d_winsize_std,s_bytes_std,d_bytes_sum,s_bytes_mean,d_bytes_mean,s_winsize_min,d_winsize_min,d_bytes_std,d_ttl_sum,d_winsize_max,dur,d_bytes_max,s_iat_sum,d_iat_max,s_winsize_max,s_iat_max,d_iat_sum,s_iat_mean,d_load,syn_ack,s_load,d_iat_mean,d_ttl_mean,s_iat_std,d_ttl_max,d_ttl_med,d_ttl_min,tcp_rtt,d_iat_med,s_iat_med,d_bytes_med,d_iat_std,s_ttl_sum,ack_cnt,d_iat_min,d_port,s_port,s_pkt_cnt,d_pkt_cnt,s_bytes_med,ack_dat,psh_cnt,s_iat_min,s_bytes_min,s_ttl_min,s_ttl_max,s_ttl_med,d_bytes_min,s_ttl_mean,syn_cnt,fin_cnt,rst_cnt,d_ttl_std,ece_cnt,cwr_cnt,proto,pkt_depth,neg_f1_score,compute_cost,Timestamp,timestamp
False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,4,-0.96255287483649,673.0,4472616.0,23
True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,1,-0.8734918639447093,166.0,4537581.0,23
False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,4,-0.9628760241016302,608.0,4604414.0,23
True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,-0.5557775018082439,165.0,4669381.0,23
True,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,False,False,False,1,-0.8734918639447093,153.0,4733835.0,24
True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,True,False,True,True,1,-0.8250605616479761,134.0,4798269.0,24
True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,1,-0.5557775018082439,173.0,4862204.0,24
True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,3,-0.8929963076258759,587.0,4929979.0,24
True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,1,-0.8250605616479761,98.0,4995292.0,25
True,True,True,True,False,False,True,False,True,True,False,True,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2,-0.8960135921352589,247.0,5061847.0,25
False,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,True,30,-0.8670334397226325,4103.0,5127333.0,25
